City,Angular,.NET,Django,Flask,Laravel,React,Ruby on Rails,Spring,Vue.js
Buenos Aires,47,21,31,4,8,108,11,20,8
Brisbane,153,71,8,0,19,138,1,38,4
Perth,114,56,2,0,26,67,2,2,26
Sydney,85,72,3,1,13,124,1,41,5
Vienna,112,71,4,1,6,76,0,82,15
Graz,56,36,0,0,1,12,0,54,2
Antwerp,52,109,5,2,8,50,4,25,2
Brussels,66,81,6,4,7,45,6,48,6
Rio de Janeiro,29,1,55,27,0,9,3,82,0
Toronto,86,53,15,7,10,122,15,51,10
Vancouver,65,38,22,5,30,158,14,16,11
Calgary,57,86,4,3,8,78,17,24,7
Santiago,107,73,4,1,2,149,7,29,4
Antofagasta,0,0,0,0,0,0,0,0,0
Bogota,15,29,1,0,24,30,7,29,0
San Jose,89,14,4,1,1,484,50,81,0
Prague,49,75,0,1,2,78,3,46,2
Brno,34,63,1,0,1,39,1,37,6
Copenhagen,43,64,0,0,4,134,0,5,5
Aarhus,0,87,0,0,58,60,0,0,0
Guayaquil,0,0,0,0,0,0,0,0,0
Quito,30,0,0,0,0,30,0,60,0
Cairo,58,138,1,0,24,13,0,5,4
Aswan,0,0,0,0,0,0,0,0,0
Helsinki,97,8,30,4,1,133,6,5,11
Tampere,58,58,2,0,0,177,0,0,0
Oulu,30,30,0,0,0,30,0,0,0
Paris,38,19,15,15,0,86,4,17,10
Marseille,0,0,0,0,0,30,0,30,0
Lyon,9,3,28,0,0,65,0,30,0
Munich,63,47,7,2,10,87,9,49,25
Berlin,73,8,5,10,16,103,11,37,19
Hamburg,63,30,1,0,25,84,5,73,30
Athens ,124,157,4,3,12,98,1,75,11
Thessaloniki,41,190,2,1,2,39,0,62,0
Hong Kong,48,20,5,3,6,99,2,27,8
Kowloon,48,20,5,3,6,99,2,27,8
Budapest,69,60,6,6,3,47,0,59,13
Debrecen,59,29,0,0,0,87,0,88,0
Jaipur,83,29,4,0,54,67,5,12,2
Bengaluru,46,22,4,1,8,66,0,64,0
Mumbai,81,25,6,3,13,64,0,41,1
Jakarta,42,28,0,2,33,67,11,28,10
Bandung,176,33,30,0,0,88,0,0,0
Dublin,89,72,9,6,10,73,10,56,5
Cork,58,6,1,1,0,85,0,3,0
Rome,186,126,0,0,6,114,0,52,1
Milan,58,49,3,0,6,52,3,45,3
Fukuoka,0,0,0,0,0,0,0,0,0
Tokyo,0,2,0,0,1,10,1,6,0
Osaka,0,0,0,0,0,0,0,0,0
Guadalajara,121,27,8,2,3,111,4,64,4
Monterrey,67,38,0,0,0,57,75,9,0
Amsterdam,59,82,5,5,9,41,1,41,7
Rotterdam,54,80,7,4,8,44,1,40,12
Eindhoven,62,55,8,4,20,64,4,37,9
Wellington,33,114,0,0,0,32,2,2,0
Auckland,66,103,5,2,0,51,2,10,5
Christchurch,117,32,0,0,0,87,58,0,0
Lagos,81,85,17,6,24,108,17,16,4
Oslo,32,33,28,0,0,36,1,0,0
Bergen,30,0,0,0,0,30,0,0,0
Karachi,83,121,2,1,60,110,0,8,1
Lahore,60,48,35,4,45,106,9,23,10
Lima,172,28,57,0,1,147,2,28,0
Makati,44,70,6,1,24,57,8,28,14
Quezon,46,71,6,1,24,58,8,27,13
Warsaw,106,59,8,6,3,128,5,96,5
Krakow,108,92,16,8,3,139,9,71,13
Lisbon,53,46,8,1,4,74,11,31,16
Porto,81,52,19,0,9,72,1,16,10
Bucharest,117,84,4,1,9,69,1,91,6
Cluj,86,129,6,0,6,123,0,81,2
Moscow,34,10,50,0,0,14,2,30,0
Singapore,0,0,0,0,0,0,0,0,0
Woodlands,64,169,0,0,0,82,3,5,2
Cape Town,88,50,17,3,12,82,1,32,7
Johannesburg,90,89,1,2,7,56,2,25,2
Madrid,45,46,8,2,7,47,0,44,1
Barcelona,58,43,6,5,14,95,7,49,18
Valencia,63,29,0,0,29,62,1,4,3
Stockholm,23,35,6,0,4,68,3,24,4
Gothenburg,3,14,0,0,23,103,0,10,0
Zurich,68,83,7,2,1,76,0,95,14
Geneva,117,31,1,1,0,194,0,192,0
Lausanne,148,88,28,0,1,147,0,116,0
Hsinchu,30,0,0,0,0,30,0,0,0
Taipei,54,0,27,1,27,59,27,27,0
Bangkok,56,78,7,0,5,63,0,29,3
Pattaya,0,0,0,0,0,0,0,0,0
Instanbul,0,0,0,0,0,0,0,0,0
Ankara,117,30,29,0,2,117,0,116,30
Kyiv,113,116,7,9,7,143,15,41,6
Odesa,35,119,0,0,4,121,0,60,0
Dubai,57,53,0,0,8,35,8,70,4
Abu Dhabi,29,111,0,0,0,4,0,54,0
London,40,62,20,9,6,113,0,15,12
Cambridge,31,25,7,5,3,46,2,4,1
Manchester,51,67,3,3,29,118,2,19,5
Liverpool,17,112,0,0,11,85,4,4,4
Birmingham,33,58,6,11,14,56,3,14,5
Cardiff,19,34,1,0,13,30,1,14,4
Wrexham,45,122,1,0,10,38,3,1,2
Belfast,134,124,2,1,4,132,1,31,2
San Francisco,57,17,17,6,1,129,20,29,6
New York,85,48,22,8,3,116,10,62,9
Los Angeles,56,59,9,4,10,111,10,32,3
Austin,74,74,14,6,0,125,23,47,7
Washington D.C,105,59,10,2,1,66,5,71,2
Ho Chi Minh City,101,95,5,3,18,162,10,79,5
Hanoi,84,88,8,6,30,151,9,70,9
