City,C/C++,C#,Dart,Golang,JavaScript,Java,Kotlin,Python,PHP,Ruby,Scala,Swift,Typescript
Buenos Aires,5,26,1,2,45,176,10,95,36,25,10,24,14
Brisbane,17,188,0,2,121,288,5,67,65,45,2,67,73
Perth,1,153,0,0,143,289,25,132,77,3,1,52,7
Sydney,7,76,0,5,92,249,18,85,35,7,9,13,26
Vienna,9,71,3,1,105,318,10,48,41,5,8,21,16
Graz,27,91,0,1,107,313,2,36,39,0,0,4,1
Antwerp,8,78,0,4,35,150,0,44,13,7,3,0,13
Brussels,5,65,0,0,57,249,3,44,33,20,4,6,21
Rio de Janeiro,0,1,0,0,3,171,54,169,0,5,0,1,1
Toronto,12,84,0,4,137,382,15,120,37,36,13,18,16
Vancouver,20,66,6,8,128,304,10,170,70,34,9,14,17
Calgary,8,90,0,0,172,341,6,66,160,41,2,10,5
Santiago,1,77,0,26,62,212,2,38,5,14,47,1,51
Antofagasta,0,30,0,0,0,0,0,0,0,0,0,0,0
Bogota,0,36,0,0,56,167,1,86,74,11,27,6,0
San Jose,2,13,0,25,194,417,1,21,55,76,4,52,102
Prague,15,87,0,5,100,273,19,93,31,9,17,7,12
Brno,76,88,0,2,65,304,7,136,8,26,23,5,8
Copenhagen,22,246,0,23,39,153,4,85,3,1,5,2,29
Aarhus,58,175,0,0,58,146,0,117,116,0,0,0,0
Guayaquil,0,0,0,0,0,0,0,0,0,0,0,0,0
Quito,0,30,0,0,0,30,30,0,0,0,30,0,30
Cairo,2,190,2,0,173,327,41,47,197,40,0,2,2
Aswan,0,0,0,0,0,0,0,0,0,0,0,0,0
Helsinki,25,14,0,5,96,233,6,179,8,16,29,3,6
Tampere,0,58,0,1,31,61,0,118,0,0,58,60,0
Oulu,90,30,0,0,0,0,0,30,0,0,0,0,0
Paris,13,53,0,8,60,182,7,136,28,24,15,4,10
Marseille,0,0,0,0,0,60,0,30,0,0,0,0,0
Lyon,56,117,0,1,2,173,56,86,1,28,0,28,0
Munich,10,54,2,2,126,335,23,70,52,18,5,17,25
Berlin,5,23,2,11,132,271,22,98,69,30,14,19,17
Hamburg,6,38,0,8,119,326,32,42,93,13,6,21,14
Athens ,18,105,0,2,143,479,6,41,116,21,3,12,19
Thessaloniki,1,136,0,0,38,223,0,40,62,26,0,0,27
Hong Kong,15,51,1,11,99,262,21,93,54,10,6,28,4
Kowloon,15,51,1,11,99,262,21,93,54,10,6,28,4
Budapest,16,75,0,2,118,345,4,107,33,3,26,13,13
Debrecen,0,30,0,0,145,469,0,59,0,29,30,0,0
Jaipur,2,34,1,0,115,225,4,35,205,6,2,15,4
Bengaluru,6,36,1,3,67,236,5,87,21,4,13,4,9
Mumbai,1,26,1,2,65,203,4,52,76,1,13,16,7
Jakarta,1,59,0,25,68,381,28,55,166,60,3,24,5
Bandung,116,149,0,0,119,588,0,0,30,29,0,0,0
Dublin,9,79,0,4,118,291,8,89,27,25,23,4,5
Cork,0,61,0,60,92,238,0,95,1,1,0,0,28
Rome,4,57,0,2,53,328,3,35,79,2,4,4,8
Milan,14,53,1,2,24,212,15,44,33,8,4,14,18
Fukuoka,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo,0,1,0,2,4,108,8,22,19,4,0,9,0
